GNI,DR,SC,3BD,HOS,LifeEx,pop,urb,WLE,WUE,MYE,MAE,MLE,MUE,WAE
17,75.9,16.0,31.0,6.38,63.6,1.79,84.9,63.4,15.2,8.16,14.1,64.0,21.9,21.4
1,95.7,24.2,55.7,13.8,60.4,1.96,50.7,44.7,4.96,4.22,33.2,52.9,13.9,50.3
4,86.3,19.6,14.5,5.27,62.1,26.6,49.1,62.3,6.42,7.11,43.6,44.0,12.5,31.2
7,76.3,47.6,24.1,4.46,72.6,15.6,45.9,75.5,13.0,6.35,42.9,48.7,8.33,11.5
2,109.0,31.0,50.0,8.43,58.4,10.9,33.0,47.5,2.18,2.9,51.4,41.1,7.52,50.3
7,56.8,12.9,35.8,5.0,68.8,0.76,27.3,65.6,23.3,8.46,21.3,69.1,9.64,11.1
2,70.8,21.1,16.6,5.82,61.7,10.4,40.0,82.6,7.3,5.5,40.3,44.8,14.9,10.1
4,64.2,20.8,22.2,5.56,74.1,8.82,49.4,68.7,14.2,6.42,42.8,45.6,11.7,17.1
5,55.0,40.9,20.8,5.84,67.9,1280.0,32.0,39.7,9.81,6.01,33.1,58.2,8.69,50.5
8,64.0,7.54,35.7,6.2,73.9,8.43,83.7,30.0,67.6,10.7,3.29,75.0,21.7,2.46
22,52.4,10.0,24.8,4.55,69.6,17.1,53.4,65.1,50.6,11.7,5.54,68.5,26.0,1.09
3,88.2,27.6,16.9,5.52,63.4,45.5,31.9,47.2,17.1,7.94,26.3,54.3,19.4,35.7
3,65.0,15.5,28.5,5.35,70.3,5.72,31.9,50.4,48.6,11.6,16.7,63.5,19.9,1.99
3,69.7,34.0,17.0,5.72,48.7,2.03,25.4,72.6,11.3,6.58,24.0,68.4,7.62,16.1
1,95.0,30.7,33.0,6.78,61.2,4.25,56.2,42.5,2.73,5.2,47.1,41.0,11.9,54.7
1,92.3,46.0,7.75,5.82,64.7,23.1,18.2,20.4,3.3,4.46,83.4,20.1,8.35,84.6
1,108.0,42.1,23.7,5.69,59.9,15.9,15.2,35.5,5.04,5.48,43.5,48.6,7.97,59.5
12,54.9,16.5,49.6,7.8,77.0,0.42,37.0,62.3,34.6,6.61,22.8,55.2,22.1,3.11
2,121.0,38.2,43.7,7.34,56.6,16.5,21.7,60.4,1.57,1.82,52.2,39.4,8.44,38.0
4,92.8,29.0,23.4,7.69,63.4,3.8,41.0,75.7,7.44,5.15,26.8,62.7,10.5,16.9
6,45.3,6.19,13.3,3.19,71.0,3.56,37.0,50.3,34.9,11.1,15.8,69.4,14.8,14.8
7,41.9,17.4,28.4,7.56,75.2,33.8,57.8,48.9,16.7,7.52,23.7,62.8,13.4,34.4
1,110.0,42.5,22.4,5.57,54.9,25.4,31.0,41.9,7.91,3.93,38.6,52.4,8.97,50.2
5,56.1,30.8,14.0,5.44,64.9,51.9,26.5,70.4,9.11,5.35,26.0,65.7,8.35,20.5
10,76.0,21.0,43.2,6.39,60.5,2.23,46.8,77.6,17.8,8.0,16.7,64.8,18.5,4.59
2,70.7,38.4,31.6,5.73,68.8,27.1,31.9,21.4,4.71,4.06,25.2,67.2,7.6,73.9
5,48.7,15.1,20.9,3.61,73.2,6.06,59.6,80.5,8.24,7.06,31.1,65.3,4.67,11.2
1,149.0,41.5,21.5,7.64,59.5,18.4,16.1,86.1,8.69,1.26,51.2,42.3,6.49,8.65
5,97.9,36.3,30.1,6.73,52.2,172.0,39.9,74.7,7.83,6.23,36.9,49.4,13.7,17.5
5,75.6,43.4,22.2,8.85,66.1,191.0,33.7,59.4,14.6,4.85,13.2,73.4,13.4,25.9
3,79.5,43.5,37.6,6.45,62.9,8.44,11.5,45.2,14.7,5.35,31.4,44.7,23.8,40.1
11,59.4,17.4,26.6,4.97,75.3,29.8,69.1,53.9,13.2,8.87,36.3,52.1,11.7,32.9
2,88.7,40.4,29.8,5.4,66.2,10.8,15.5,22.2,3.07,4.4,64.7,29.5,5.86,74.8
3,94.3,18.3,22.6,5.03,68.7,0.19,63.5,79.7,4.59,5.47,22.7,70.6,6.7,15.7
3,93.8,18.6,61.1,13.6,65.9,13.8,44.6,64.5,2.21,2.89,30.4,64.3,5.36,33.3
2,99.3,37.7,43.7,7.49,51.7,6.86,31.2,46.7,2.47,3.11,54.4,36.3,9.3,50.8
12,55.7,26.1,30.2,4.85,61.1,53.7,63.2,77.7,18.6,9.3,7.34,76.0,16.6,3.68
3,65.9,25.0,43.3,7.83,69.6,8.08,24.3,59.7,30.3,10.4,3.94,78.1,18.0,10.1
3,100.0,37.2,32.2,6.86,61.4,48.6,27.0,35.5,3.68,5.65,57.7,35.7,6.54,60.8
6,91.4,50.7,54.3,6.87,68.0,1.16,25.8,44.1,8.82,5.62,46.3,34.5,19.2,47.1
1,96.8,27.0,25.1,6.8,59.2,6.97,37.7,68.6,0.87,4.82,48.0,48.2,3.79,30.6
2,115.0,31.2,25.6,6.44,59.9,35.9,17.6,34.9,7.12,6.04,53.0,35.4,11.5,57.9
5,48.7,22.7,24.0,4.61,75.0,90.8,31.2,35.3,11.2,8.38,45.8,47.3,6.98,53.6
3,86.1,46.3,28.9,8.6,66.0,25.1,30.9,28.1,17.3,4.96,21.4,65.3,13.4,54.6
4,109.0,40.7,22.7,6.55,59.7,15.0,38.8,44.8,5.91,6.98,50.2,41.5,8.32,49.3
2,89.3,29.0,26.3,5.55,56.9,13.4,30.6,71.6,10.5,8.47,17.5,70.8,11.7,17.9
11,52.1,15.7,21.5,4.3,77.8,2.89,54.0,55.5,22.6,10.7,21.6,69.6,8.83,22.0
6,108.0,37.2,25.8,6.36,58.8,27.0,55.1,46.4,7.26,5.72,34.5,45.5,19.9,46.3
8,46.5,13.1,28.5,4.54,74.3,2.92,59.9,38.8,42.6,11.5,11.3,69.4,19.4,18.7
16,50.9,26.4,13.8,5.02,72.0,8.49,55.2,33.1,49.0,10.6,13.1,66.5,20.4,17.9
3,63.4,36.3,29.5,5.62,71.2,155.0,27.3,49.0,7.19,4.83,27.7,62.0,10.3,43.8
2,110.0,41.6,24.0,7.09,60.3,10.3,41.1,69.7,3.81,3.2,48.0,39.6,12.4,26.5
6,77.2,21.7,18.0,4.62,69.9,10.7,56.0,57.4,14.7,8.35,23.7,41.9,34.4,27.9
2,114.0,30.0,36.9,6.8,59.5,17.3,24.7,48.3,1.93,1.77,66.4,27.0,6.64,49.8
1,102.0,56.6,36.5,5.96,59.7,9.91,10.6,11.7,3.65,3.34,64.2,29.9,5.91,84.6
3,63.0,32.0,11.8,5.54,68.3,15.3,15.8,51.2,6.63,5.1,46.8,43.3,9.85,42.2
3,95.3,30.8,40.2,7.6,57.1,22.8,49.0,56.5,1.3,6.32,40.3,53.2,6.56,42.2
2,131.0,39.5,28.1,7.78,52.8,13.7,22.7,61.0,1.86,2.55,62.4,29.5,8.1,37.2
13,51.7,10.8,44.6,4.6,76.3,47.1,76.2,81.1,11.5,8.44,23.5,67.0,9.52,7.38
3,84.1,29.8,35.4,6.77,63.2,0.75,31.8,41.0,36.8,5.46,30.9,38.6,30.5,22.2
8,82.3,21.7,22.6,5.66,62.6,4.74,66.6,37.8,3.04,8.13,48.8,44.4,9.27,60.2
1,113.0,42.3,30.7,6.86,58.8,73.9,36.3,32.5,3.61,6.94,56.2,27.3,16.5,63.9
3,91.1,29.4,28.5,7.01,55.5,22.4,46.0,68.8,1.62,3.79,60.2,30.2,11.6,31.0
13,57.2,6.77,35.7,4.54,73.0,10.2,74.4,79.2,20.6,8.56,12.3,74.5,14.1,0.57
10,63.1,22.2,18.0,5.12,71.1,90.4,37.4,37.7,49.4,8.01,13.4,62.9,23.7,13.0
2,126.0,41.7,2.43,6.82,64.2,2.96,56.9,33.6,7.76,5.42,18.2,81.3,2.01,58.7
9,80.7,25.6,25.2,6.12,53.6,1.1,26.7,77.8,12.7,8.31,12.5,69.9,17.6,9.46
2,102.0,40.8,5.49,5.87,64.5,98.2,16.6,57.3,5.82,2.95,62.4,29.6,8.08,36.9
16,75.5,15.5,29.8,6.21,64.3,1.84,85.6,63.8,15.7,8.31,13.8,64.9,21.4,20.4
1,95.4,23.1,56.5,13.7,60.7,2.03,54.1,44.7,4.96,4.38,33.2,52.9,13.9,50.3
4,84.5,18.0,13.8,5.18,62.4,27.2,49.5,62.6,6.8,7.42,42.8,44.4,12.8,30.6
7,75.3,47.2,24.5,5.26,72.9,15.9,44.2,75.7,13.1,5.89,42.1,49.5,8.47,11.2
2,109.0,31.0,50.4,8.37,59.0,11.2,33.3,49.8,2.31,2.95,50.4,41.9,7.72,47.9
7,55.2,11.2,37.7,4.99,69.0,0.76,27.2,65.6,23.3,8.5,21.3,69.1,9.64,11.1
2,70.9,21.1,17.2,5.77,62.1,10.5,39.9,82.5,7.6,5.62,39.5,45.3,15.1,9.91
4,61.9,20.1,22.2,5.5,74.3,8.99,49.8,68.7,14.5,6.5,42.2,45.5,12.3,16.9
6,54.7,39.9,19.3,5.83,68.3,1295.0,32.3,39.4,9.76,6.15,34.1,57.3,8.57,50.9
8,62.9,7.28,35.1,6.08,74.0,8.77,85.1,30.2,67.6,10.9,3.3,74.9,21.8,2.18
23,53.7,9.02,25.2,4.55,70.5,17.3,53.3,65.9,51.2,11.7,4.88,68.3,26.8,0.93
3,87.0,26.0,16.5,5.47,64.1,46.7,34.4,50.2,14.1,8.06,25.8,57.1,17.1,35.7
3,66.5,12.9,28.9,5.38,70.6,5.84,31.5,50.9,49.3,11.7,16.1,63.9,20.1,1.89
3,69.8,32.7,17.9,5.6,49.9,2.04,26.1,76.6,11.5,6.61,22.4,69.5,8.04,11.9
1,94.2,29.7,32.9,6.81,61.7,4.38,58.2,42.7,2.7,5.33,46.0,42.0,12.0,54.6
1,91.0,45.2,8.03,5.8,65.1,23.7,19.2,19.2,3.13,4.57,87.3,18.9,8.61,88.1
1,108.0,40.3,24.3,5.65,61.0,16.3,15.0,34.8,6.12,5.59,42.2,48.9,8.94,59.0
12,54.8,16.1,49.6,7.67,77.4,0.44,38.0,60.5,37.0,6.86,22.4,54.2,23.4,2.52
2,121.0,36.0,43.5,7.42,57.0,17.0,22.0,60.2,2.09,1.96,50.5,40.6,8.92,37.7
4,91.7,28.5,24.0,7.75,63.7,3.9,40.3,75.7,7.44,5.33,26.8,62.7,10.5,16.9
6,45.0,5.97,12.8,3.14,71.3,3.55,36.8,50.3,34.9,11.1,15.8,69.4,14.8,14.8
7,40.2,16.8,28.0,7.63,75.5,34.2,57.9,48.3,17.0,7.9,23.3,63.2,13.6,34.7
1,111.0,42.1,21.6,5.48,56.1,26.0,30.8,43.9,8.46,4.07,37.9,52.9,9.14,47.6
5,56.1,30.2,14.0,5.4,65.4,52.3,26.6,70.4,9.11,5.36,26.0,65.7,8.35,20.5
10,75.7,20.3,43.2,6.34,61.4,2.27,47.6,79.1,18.3,8.11,15.9,65.3,19.1,4.37
3,69.6,37.6,32.0,5.7,69.2,27.2,41.2,21.5,4.77,4.17,24.8,67.8,7.4,73.7
5,46.2,14.2,21.0,3.69,73.4,6.14,60.0,81.1,7.55,7.0,30.6,66.4,4.15,11.4
1,151.0,40.0,20.7,7.55,60.1,19.0,15.9,89.1,9.51,1.3,52.1,41.0,6.85,8.22
6,98.1,36.3,30.1,6.75,52.7,177.0,40.6,77.4,8.56,6.41,37.8,48.9,13.3,14.0
5,75.4,42.2,23.1,8.77,66.4,196.0,34.5,58.7,16.1,4.96,13.2,72.5,14.3,25.2
4,79.5,43.5,37.6,6.45,63.2,8.44,11.5,45.2,14.7,5.35,31.4,44.7,23.8,40.1
12,59.1,16.8,27.0,5.04,75.5,30.0,68.9,52.9,13.3,8.79,37.0,52.2,11.1,33.8
2,88.0,39.2,29.5,5.36,66.9,11.1,16.1,22.4,3.3,4.53,62.9,30.6,6.47,74.3
3,93.8,17.2,23.7,4.98,69.1,0.2,66.6,79.7,4.59,5.6,22.7,70.6,6.7,15.7
3,94.3,18.7,61.3,13.4,66.4,14.2,48.3,66.9,0.41,3.06,29.5,68.6,1.83,32.7
1,96.1,36.3,41.5,7.21,52.4,7.02,34.5,45.3,2.55,3.44,55.2,35.0,9.75,52.2
12,57.3,26.1,31.1,4.92,62.0,54.5,63.3,77.2,18.9,9.34,7.77,75.0,17.2,3.92
3,66.1,23.1,42.7,7.76,69.9,8.28,24.4,55.1,31.7,10.5,4.61,77.5,17.9,13.2
3,99.2,35.6,31.8,6.86,62.3,50.1,28.3,36.9,3.92,5.81,56.9,36.7,6.44,59.2
8,90.6,49.1,55.4,6.82,68.2,1.18,26.3,47.6,9.66,5.73,42.5,37.5,20.0,42.7
2,98.1,26.8,24.4,6.82,59.6,7.14,37.6,68.7,0.83,4.9,47.6,48.9,3.55,30.5
2,113.0,30.2,25.9,6.38,60.7,37.2,19.1,37.0,7.74,6.18,47.5,39.7,12.8,55.2
5,48.6,22.7,24.0,4.64,75.1,91.7,31.8,35.7,11.4,8.4,44.7,48.4,6.89,52.9
3,85.4,46.3,28.3,8.49,66.1,25.8,30.9,29.0,18.0,5.03,21.0,65.6,13.4,53.0
4,109.0,39.9,23.6,6.59,60.8,15.4,39.3,44.5,5.93,7.06,51.0,40.8,8.18,49.6
2,89.7,27.8,27.1,5.54,58.4,13.6,30.5,72.0,11.5,8.54,16.1,71.2,12.8,16.5
12,51.6,14.3,21.1,4.23,78.0,2.89,55.9,55.5,22.6,11.0,21.6,69.6,8.83,22.0
6,111.0,37.2,26.5,6.38,59.4,27.9,59.8,46.4,7.26,5.71,34.5,45.5,19.9,46.3
8,47.2,11.3,28.5,4.54,74.5,2.93,59.5,38.7,41.5,11.5,11.7,68.6,19.7,19.8
15,50.9,26.4,13.8,5.02,72.3,8.49,55.2,33.1,49.0,10.6,13.1,66.5,20.4,17.9
4,61.8,34.6,29.2,5.5,71.5,156.0,26.1,46.7,6.85,5.0,27.1,63.7,9.8,56.0
2,109.0,39.4,24.8,7.21,60.6,10.6,40.8,69.7,4.0,3.22,47.4,39.7,12.9,26.3
7,76.8,20.8,18.2,4.54,70.3,10.9,55.5,56.7,14.8,8.45,23.3,41.8,34.9,28.4
2,115.0,28.8,36.1,6.54,59.9,17.7,25.3,50.3,2.01,1.81,65.4,27.6,7.01,47.7
1,103.0,56.3,36.2,5.96,60.1,10.2,10.7,11.8,3.62,3.45,63.9,30.1,6.03,84.5
3,63.3,30.9,12.8,5.51,68.6,15.5,15.3,53.5,7.08,5.18,45.8,44.3,9.95,40.2
3,95.4,30.4,39.8,7.63,57.6,23.4,49.4,56.3,1.07,6.46,40.7,53.4,5.95,42.6
2,133.0,39.7,28.5,7.88,53.1,14.1,22.6,64.2,1.37,2.64,63.3,30.6,6.06,34.4
13,50.7,10.4,45.8,4.53,76.5,47.5,76.6,80.3,12.1,8.56,23.5,66.8,9.66,7.54
3,83.5,29.3,35.3,6.72,63.5,0.77,32.0,39.9,38.8,5.62,30.6,37.4,32.0,21.4
7,81.5,21.2,24.0,5.66,63.1,4.86,67.3,35.7,2.87,8.2,51.6,43.0,8.76,62.8
1,111.0,42.1,30.7,6.83,59.3,76.4,38.2,32.2,3.61,7.12,57.1,26.4,16.5,64.2
3,92.3,29.2,28.1,6.84,56.1,22.8,46.4,71.0,1.67,3.82,61.4,28.5,12.8,29.3
14,56.1,6.53,35.7,4.5,73.2,10.3,75.1,79.5,20.7,8.68,11.7,76.0,14.0,0.54
10,63.7,21.5,17.8,4.97,71.3,92.2,36.5,37.6,49.8,8.09,12.8,63.9,23.5,12.6
2,127.0,41.5,2.38,6.87,64.7,3.0,58.4,31.9,7.77,5.62,16.6,83.3,1.79,60.3
9,78.6,24.7,24.8,6.03,55.4,1.1,27.6,77.8,12.7,8.46,12.5,69.9,17.6,9.46
2,103.0,39.7,5.78,5.85,65.0,101.0,16.1,57.0,6.32,3.05,60.9,30.3,8.75,36.7
16,75.0,14.9,28.6,6.03,64.9,1.88,86.3,64.3,16.2,8.46,13.4,65.8,20.8,19.5
1,95.2,22.1,57.4,13.7,60.9,2.09,57.5,44.7,4.96,4.54,33.2,52.9,13.9,50.3
4,89.0,17.8,16.5,5.56,62.8,27.9,48.4,62.9,7.17,7.25,42.0,44.8,13.2,29.9
7,74.2,46.8,25.0,6.07,73.3,16.3,42.5,75.9,13.2,5.43,41.2,50.2,8.61,10.9
2,108.0,31.0,50.8,8.32,59.6,11.5,33.7,52.1,2.44,2.99,49.4,42.7,7.91,45.5
7,53.6,10.8,39.6,4.98,69.3,0.77,27.2,65.6,23.3,8.54,21.3,69.1,9.64,11.1
2,71.1,21.2,17.8,5.72,62.5,10.7,39.7,82.4,7.91,5.75,38.8,45.8,15.4,9.68
4,59.6,19.3,22.2,5.43,74.5,9.16,50.1,68.7,14.7,6.58,41.7,45.4,12.9,16.6
6,54.5,38.9,17.8,5.82,68.6,1310.0,32.7,39.1,9.71,6.28,35.1,56.4,8.45,51.2
8,61.9,7.02,34.5,5.97,74.1,9.1,86.5,30.4,67.7,11.0,3.31,74.9,21.8,1.89
22,54.9,8.0,25.6,4.55,71.3,17.5,53.2,66.7,51.7,11.7,4.23,68.2,27.6,0.78
3,85.8,25.1,16.0,5.42,64.8,47.9,36.9,53.1,13.4,8.18,25.2,60.0,16.3,35.8
3,67.6,12.6,29.0,5.34,70.9,5.96,32.7,51.5,49.9,11.7,15.4,64.3,20.3,1.79
3,68.5,33.2,17.4,5.48,51.0,2.06,28.5,80.5,11.7,6.9,21.4,70.6,8.46,11.3
1,93.4,28.7,32.8,6.83,62.3,4.51,60.1,42.9,2.67,5.46,45.0,42.9,12.1,54.4
1,89.6,44.3,8.3,5.78,65.5,24.4,20.1,18.0,2.96,4.67,91.2,17.8,8.86,91.6
1,107.0,38.6,24.8,5.6,62.0,16.8,14.8,34.2,7.21,5.7,40.9,49.2,9.91,58.6
12,54.7,15.8,49.6,7.54,77.7,0.46,39.1,58.7,39.4,7.11,22.0,53.2,24.8,1.94
2,121.0,33.8,43.2,7.5,57.5,17.5,22.4,60.0,2.61,2.1,48.8,41.8,9.4,37.4
4,90.7,28.1,24.6,7.8,63.9,4.0,39.6,75.7,7.44,5.5,26.8,62.7,10.5,16.9
6,44.6,5.76,12.3,3.08,71.5,3.55,36.6,50.3,34.9,11.1,15.8,69.4,14.8,14.8
7,38.5,16.2,27.7,7.7,75.7,34.6,57.9,47.7,17.3,8.28,22.9,63.5,13.7,35.0
1,112.0,41.7,20.8,5.39,57.2,26.6,30.5,45.9,9.0,4.22,37.2,53.5,9.31,45.1
5,56.0,29.5,14.0,5.36,65.8,52.6,26.8,70.4,9.11,5.37,26.0,65.7,8.35,20.5
10,75.5,19.6,43.2,6.29,62.1,2.31,48.4,80.7,18.9,8.21,15.1,65.8,19.7,4.15
2,68.6,36.7,32.3,5.66,69.5,27.2,50.5,21.7,4.83,4.27,24.4,68.4,7.2,73.5
5,43.6,13.4,21.1,3.76,73.6,6.22,60.4,81.6,6.86,6.95,30.1,67.5,3.63,11.5
1,154.0,38.6,19.9,7.45,60.6,19.6,15.6,92.2,10.3,1.34,53.0,39.8,7.21,7.79
5,98.3,36.4,30.1,6.76,53.1,181.0,41.3,80.2,9.29,6.59,38.7,48.4,12.9,10.5
5,75.2,41.0,23.9,8.69,66.6,200.0,35.3,57.9,17.6,5.08,13.2,71.6,15.2,24.4
4,79.5,43.5,37.6,6.45,63.5,8.44,11.5,45.2,14.7,5.35,31.4,44.7,23.8,40.1
12,58.8,16.2,27.4,5.11,75.8,30.2,68.7,51.9,13.4,8.71,37.7,52.2,10.5,34.7
2,87.3,38.0,29.3,5.32,67.5,11.4,16.8,22.6,3.53,4.66,61.2,31.8,7.09,73.9
3,92.3,16.1,24.8,5.01,69.4,0.2,66.6,79.7,4.59,5.84,22.7,70.6,6.7,15.7
3,96.2,20.5,60.4,13.0,66.7,14.6,43.7,56.3,3.2,3.09,33.8,57.3,8.92,40.5
1,92.9,34.9,39.3,6.92,52.9,7.18,37.9,43.8,2.63,3.77,56.0,33.8,10.2,53.5
12,58.9,26.1,32.1,4.98,62.6,55.4,63.3,76.7,19.2,9.39,8.2,74.0,17.8,4.15
3,66.2,21.3,42.1,7.68,70.1,8.48,24.4,50.5,33.1,10.6,5.28,76.9,17.8,16.4
3,98.5,34.1,31.4,6.86,63.1,51.5,29.6,38.3,4.15,5.97,56.0,37.7,6.34,57.6
8,89.7,47.4,56.5,6.76,68.5,1.2,26.8,51.1,10.5,5.83,38.7,40.4,20.9,38.4
2,95.8,26.6,24.8,6.58,59.9,7.32,38.6,68.9,0.79,5.12,47.2,49.5,3.38,30.3
2,112.0,29.2,26.3,6.31,61.4,38.4,20.5,39.2,8.37,6.31,42.0,44.0,14.0,52.5
6,48.5,22.7,23.9,4.68,75.1,92.7,32.3,36.1,11.7,8.42,43.6,49.6,6.8,52.2
2,84.8,46.3,27.6,8.39,66.1,26.4,30.9,29.8,18.8,5.09,20.6,65.9,13.4,51.4
4,108.0,38.6,24.4,6.57,61.7,15.9,39.4,46.7,6.4,7.15,47.9,43.6,8.47,46.9
2,90.2,26.5,27.9,5.53,59.5,13.8,30.5,72.3,12.5,8.62,14.6,71.6,13.8,15.1
12,51.1,12.9,20.7,4.16,78.2,2.88,57.7,55.5,22.6,11.3,21.6,69.6,8.83,22.0
6,114.0,37.2,27.2,6.4,59.9,28.8,64.5,46.4,7.26,5.69,34.5,45.5,19.9,46.3
9,47.9,9.4,28.5,4.54,74.6,2.94,59.0,38.6,40.5,11.5,12.1,67.8,20.1,20.9
15,50.9,26.4,13.8,5.02,72.5,8.49,55.2,33.1,49.0,10.6,13.1,66.5,20.4,17.9
4,60.2,33.0,28.9,5.38,71.8,158.0,25.0,44.3,6.51,5.16,26.5,65.4,9.31,68.3
2,109.0,37.2,25.7,7.33,60.9,10.9,40.6,69.7,4.19,3.23,46.9,39.8,13.3,26.2
7,76.3,19.9,18.4,4.45,70.6,11.0,55.0,56.1,15.0,8.54,22.9,41.8,35.4,28.9
2,116.0,27.7,35.4,6.29,60.4,18.1,25.9,52.3,2.09,1.85,64.4,28.2,7.38,45.6
1,103.0,56.1,35.8,5.96,60.5,10.5,10.9,11.9,3.59,3.55,63.6,30.3,6.15,84.5
3,63.6,29.9,13.8,5.48,69.0,15.8,14.8,55.8,7.52,5.26,44.7,45.2,10.1,38.2
3,95.4,30.0,39.5,7.65,58.1,24.0,49.9,56.1,0.85,6.61,41.1,53.6,5.34,43.1
2,132.0,39.2,31.4,7.87,53.4,14.5,21.7,67.4,1.3,2.68,64.2,31.8,5.77,32.8
13,49.7,10.0,46.9,4.46,76.7,48.0,76.9,79.5,12.8,8.68,23.5,66.7,9.79,7.7
3,82.9,28.8,35.1,6.66,63.7,0.78,32.3,38.8,40.7,5.78,30.4,36.2,33.4,20.5
6,80.7,20.7,25.3,5.66,63.6,4.97,68.1,33.6,2.7,8.27,54.4,41.6,8.24,65.4
1,110.0,42.0,30.7,6.79,59.7,79.0,40.1,31.9,3.61,7.31,57.9,25.5,16.6,64.5
3,93.6,29.1,27.7,6.66,56.6,23.3,46.9,73.1,1.71,3.85,62.5,26.8,14.0,27.6
14,55.1,6.3,35.7,4.47,73.5,10.4,75.9,79.9,20.7,8.8,11.1,77.5,13.9,0.51
11,64.3,20.7,17.6,4.82,71.5,94.0,35.6,37.5,50.2,8.16,12.1,64.9,23.3,12.3
2,127.0,41.4,2.32,6.93,65.1,3.04,60.0,30.3,7.77,5.82,14.9,85.3,1.56,62.0
9,76.6,23.9,24.3,5.93,57.0,1.11,28.4,77.8,12.7,8.61,12.5,69.9,17.6,9.46
2,104.0,38.5,6.07,5.83,65.5,104.0,15.6,56.7,6.83,3.14,59.5,31.1,9.41,36.4
16,74.5,14.4,27.4,5.86,65.4,1.92,87.0,64.8,16.8,8.61,13.1,66.7,20.2,18.5
1,94.9,21.0,58.2,13.6,61.2,2.15,60.9,44.7,4.96,4.69,33.2,52.9,13.9,50.3
4,93.5,17.7,19.3,5.93,63.1,28.5,47.2,63.2,7.54,7.09,41.2,45.3,13.5,29.2
7,73.1,46.4,25.4,6.88,73.5,16.6,40.8,76.1,13.3,5.17,40.4,50.9,8.75,10.6
2,108.0,30.9,51.2,8.26,60.2,11.8,34.0,54.3,2.57,3.03,48.4,43.5,8.11,43.1
7,51.9,10.5,41.6,4.96,69.5,0.77,27.1,65.6,23.3,8.59,21.3,69.1,9.64,11.1
2,71.2,21.2,18.4,5.67,62.9,10.8,39.5,82.3,8.22,5.87,38.0,46.4,15.6,9.45
4,57.4,18.6,22.2,5.36,74.7,9.33,50.4,68.6,15.0,6.66,41.2,45.3,13.5,16.4
6,54.2,37.9,16.3,5.81,68.9,1325.0,33.0,38.8,9.66,6.42,36.1,55.5,8.33,51.6
8,60.8,6.76,33.9,5.85,74.2,9.44,87.9,30.7,67.7,11.1,3.32,74.9,21.8,1.61
22,56.1,7.73,26.0,4.55,72.1,17.8,53.1,67.5,52.3,11.7,3.57,68.0,28.4,0.63
3,84.6,24.3,15.5,5.38,65.4,49.0,39.4,56.1,12.7,8.3,24.7,62.9,15.5,35.8
3,68.6,12.4,29.1,5.31,71.1,6.08,33.8,52.0,50.5,11.7,14.8,64.8,20.5,1.7
3,67.3,33.6,16.9,5.37,52.1,2.08,31.0,84.4,11.9,7.2,20.3,71.8,8.88,10.8
1,92.6,27.6,32.7,6.86,62.8,4.64,62.1,43.1,2.65,5.59,43.9,43.8,12.3,54.3
1,88.2,43.4,8.57,5.76,65.9,25.0,21.1,16.8,2.79,4.77,95.1,16.6,9.12,95.0
1,107.0,36.9,25.4,5.56,62.7,17.2,14.6,33.6,8.29,5.81,39.6,49.5,10.9,58.1
12,54.5,15.4,49.6,7.4,78.0,0.48,40.2,56.8,41.8,7.35,21.7,52.2,26.1,1.35
2,121.0,31.5,43.0,7.57,58.0,18.0,22.8,59.8,3.13,2.24,47.2,42.9,9.88,37.0
4,89.7,27.7,25.1,7.86,64.2,4.09,38.9,75.7,7.44,5.68,26.8,62.7,10.5,16.9
7,44.3,5.55,11.8,3.02,71.6,3.54,36.4,50.3,34.9,11.2,15.8,69.4,14.8,14.8
7,36.8,15.6,27.3,7.77,76.0,35.0,57.9,47.1,17.5,8.66,22.4,63.8,13.8,35.3
1,113.0,41.3,20.0,5.29,58.3,27.2,30.2,48.0,9.54,4.36,36.4,54.1,9.48,42.5
